line,locality,district,juridiction_dicstrict,type,page,serial_no,area_hectares,population_male,population_female,population_total,religion_catholic,religion_greek,religion_jewish,religion_other,c1,c2,village,belong,sum_type,vide,wrong_sum,,,
1180,Przyborów,Czortków,Brzesko,Gutsgebiete,81,27,353,7,9,16,16,,,,,,0,ad 28,,,0,,,
1181,Rudy Rysie,Czortków,Brzesko,Gutsgebiete,81,28,31,,,,,,,,,,0,ad 29,,,0,,,
1182,Słotwina,Czortków,Brzesko,Gutsgebiete,81,29,306,159,179,338,310,,,28,,,0,ad 4,,,0,,,
1183,Brzezowiec,Czortków,Brzesko,Gutsgebiete,81,1,,1,3,4,4,,,,,,0,,,,0,,,
1184,Słotwina,Czortków,Brzesko,Gutsgebiete,81,2,,158,176,334,306,,,28,,,0,,,,0,,,
1185,Sterkowiec,Czortków,Brzesko,Gutsgebiete,81,30,158,,,,,,,,,,0,ad 30,,,0,,,
1186,Szczepanów,Czortków,Brzesko,Gutsgebiete,81,31,204,,,,,,,,,,0,ad 31,,,0,,,
1187,Tworkowa,Czortków,Brzesko,Gutsgebiete,81,32,52,5,6,11,11,,,,,,0,ad 32,,,0,,,
1188,Tymowa,Czortków,Brzesko,Gutsgebiete,81,33,548,40,41,81,48,1,32,,,,0,ad 33,,,0,,,
1189,Uszew,Czortków,Brzesko,Gutsgebiete,81,34,291,12,16,28,23,,,5,,,0,ad 34,,vide 26,0,,,
1190,Uszwica,Czortków,Brzesko,Gutsgebiete,81,35,26,5,3,8,5,,,3,,,0,ad 35,,,0,,,
1191,Wojakowa,Czortków,Brzesko,Gutsgebiete,81,36,464,15,22,37,37,,,,,,0,ad 36,,,0,,,
1192,Wokowice,Czortków,Brzesko,Gutsgebiete,81,37,68,2,4,6,6,,,,,,0,ad 37,,,0,,,
1193,Wola Dębińska,Czortków,Brzesko,Gutsgebiete,81,38,322,21,23,44,44,,,,,,0,ad 38,,,0,,,
1194,Wytrzyszezka,Czortków,Brzesko,Gutsgebiete,83,39,282,7,8,15,15,,,,,,0,ad 39,,,0,,,
1195,Zawada Uszewska,Czortków,Brzesko,Gutsgebiete,83,40,44,,,,,,,,,,0,ad 40,,,0,,,
1196,Zerków,Czortków,Brzesko,Gutsgebiete,83,41,6,5,4,9,1,,8,,,,0,ad 41,sum_gutsgebiete,,0,,,
1197,Summe der Gutsgebiete,Czortków,Brzesko,Gutsgebiete,83,,8189,1003,867,1870,1633,3,232,2,,,0,,sum_gb,,0,,,
1198,Summe des GB. Brzesko,Czortków,Brzesko,Ortsgemeinden,83,,32115,20897,22274,43171,39675,10,3483,8,,,0,,,,1,,,
1199,Biskupice Radłow-skie,Czortków,Radłów,Ortsgemeinden,83,1,624,496,539,1035,991,,44,,,,0,,,,0,,,
1200,Borzęcin,Czortków,Radłów,Ortsgemeinden,83,2,4444,2579,2727,5306,5168,,143,,,,0,,,,1,,,
1201,Dąbrówka Morska,Czortków,Radłów,Ortsgemeinden,83,3,98,102,119,221,212,,9,,,,0,,,,0,,,
1202,Dołęga,Czortków,Radłów,Ortsgemeinden,83,4,465,337,388,725,706,,19,,,,1,,,,0,,,
1203,Górka,Czortków,Radłów,Ortsgemeinden,83,5,319,334,339,673,663,,10,,,,0,,,,0,,,
1204,Górka,Czortków,Radłów,Ortsgemeinden,83,1,,190,200,390,380,,10,,,,1,,,,0,,,
1205,Kopaniny,Czortków,Radłów,Ortsgemeinden,83,2,,29,37,66,66,,,,,,1,,,,0,,,
1206,Sokółki,Czortków,Radłów,Ortsgemeinden,83,3,,115,102,217,217,,,,,,1,,,vide 21,0,,,
1207,Kopacze Księże,Czortków,Radłów,Ortsgemeinden,83,6,21,57,64,121,121,,,,,,1,,,,0,,,
1208,Kwików,Czortków,Radłów,Ortsgemeinden,83,7,255,214,229,443,438,,5,,,,1,,,,0,,,
1209,Marcinkowice,Czortków,Radłów,Ortsgemeinden,83,8,141,127,137,264,263,,1,,,,1,,,,0,,,
1210,Niedzieliska,Czortków,Radłów,Ortsgemeinden,83,9,739,576,589,1165,1143,,22,,,,0,,,,0,,,
1211,Niwka,Czortków,Radłów,Ortsgemeinden,83,10,388,185,220,405,391,,14,,,,1,,,,0,,,
1212,Pojawie,Czortków,Radłów,Ortsgemeinden,83,11,397,279,315,594,575,,19,,,,1,,,,0,,,
1213,Przybysławice,Czortków,Radłów,Ortsgemeinden,83,12,293,283,344,627,606,,21,,,,1,,,,0,,,
1214,Radłów,Czortków,Radłów,Ortsgemeinden,83,13,866,1049,1056,2105,1855,3,237,10,,,1,,,,0,,,
1215,Rajsko,Czortków,Radłów,Ortsgemeinden,83,14,254,171,177,348,331,,17,,,,0,,,,0,,,
1216,Rylowa,Czortków,Radłów,Ortsgemeinden,83,15,204,224,236,460,455,,5,,,,1,,,,0,,,
1217,Rzachowa,Czortków,Radłów,Ortsgemeinden,83,16,221,109,111,220,216,,4,,,,1,,,,0,,,
1218,Strzelce Małe,Czortków,Radłów,Ortsgemeinden,83,17,212,252,283,535,532,,3,,,,0,,,,0,,,
1219,Strzelce Wielkie,Czortków,Radłów,Ortsgemeinden,83,18,727,649,719,1368,1332,,36,,,,0,,,,0,,,
1220,Szczurowa,Czortków,Radłów,Ortsgemeinden,83,19,1392,1092,1094,2186,2142,,44,,,,0,,,,0,,,
1221,Wał Ruda,Czortków,Radłów,Ortsgemeinden,83,20,613,277,303,580,567,,13,,,,0,,,,0,,,
1222,Wola Przemykow-ska,Czortków,Radłów,Ortsgemeinden,83,21,800,715,750,1465,1397,,68,,,,1,,,,0,,,
1223,Wola Radłowska,Czortków,Radłów,Ortsgemeinden,83,22,833,615,668,1283,1268,,15,,,,1,,,,0,,,
1224,Zabawa,Czortków,Radłów,Ortsgemeinden,83,23,327,378,387,765,747,,18,,,,0,,,,0,,,
1225,Podwale,Czortków,Radłów,Ortsgemeinden,83,1,,106,98,204,202,,2,,,,1,,,,0,,,
1226,Zabawa,Czortków,Radłów,Ortsgemeinden,83,2,,47,60,107,107,,,,,,1,,,,0,,,
1227,Zdarzec,Czortków,Radłów,Ortsgemeinden,83,3,,225,229,454,438,,16,,,,1,,,,0,,,
1228,Zaborów,Czortków,Radłów,Ortsgemeinden,83,24,510,433,440,873,854,,19,,,,1,,,,0,,,
1229,Zdrochee,Czortków,Radłów,Ortsgemeinden,83,25,174,193,235,428,413,,15,,,,1,,sum_ortsgemeinden,,0,,,
1230,Summe der Ortsgemeinden,Czortków,Radłów,Ortsgemeinden,83,,15296,11726,12469,24195,23381,3,801,10,,,0,,,,0,,,
1231,Borzęcin,Czortków,Radłów,Gutsgebiete,85,1,1418,33,43,76,72,,4,,,,0,ad 2,,,0,,,
1232,Dąbrówka Morska,Czortków,Radłów,Gutsgebiete,85,2,274,22,23,45,34,,11,,,,0,ad 3,,,0,,,
1233,Dołęga,Czortków,Radłów,Gutsgebiete,85,3,313,4,7,11,11,,,,,,0,ad 4,,,0,,,
1234,Górka,Czortków,Radłów,Gutsgebiete,85,4,388,24,26,50,41,,9,,,,0,ad 5,,,0,,,
1235,Kwików,Czortków,Radłów,Gutsgebiete,85,5,46,,,,,,,,,,0,ad 7,,,0,,,
1236,Marcinkowice,Czortków,Radłów,Gutsgebiete,85,6,212,,,,,,,,,,0,ad 8,,,0,,,
1237,Niedzieliska,Czortków,Radłów,Gutsgebiete,85,7,310,,,,,,,,,,0,ad 9,,,0,,,
1238,Pojawie,Czortków,Radłów,Gutsgebiete,85,8,345,3,2,5,5,,,,,,0,ad 11,,,0,,,
1239,Przybysławice,Czortków,Radłów,Gutsgebiete,85,9,376,51,38,89,82,,7,,,,0,ad 12,,,0,,,
1240,Radłów,Czortków,Radłów,Gutsgebiete,85,10,822,98,91,189,169,4,11,5,,,0,ad 13,,,0,,,
1241,Rylowa,Czortków,Radłów,Gutsgebiete,85,11,47,2,1,3,,,3,,,,0,ad 15,,,0,,,
1242,Strzelce Małe,Czortków,Radłów,Gutsgebiete,85,12,350,38,33,71,62,1,8,,,,0,ad 17,,,0,,,
1243,Strzelce Wielkie,Czortków,Radłów,Gutsgebiete,85,13,1088,28,21,49,20,,28,1,,,0,ad 18,,,0,,,
1244,Szczurowa,Czortków,Radłów,Gutsgebiete,85,14,316,37,39,76,44,,32,,,,0,ad 19,,,0,,,
1245,Wał Ruda,Czortków,Radłów,Gutsgebiete,85,15,597,7,9,16,16,,,,,,0,ad 20,,,0,,,
1246,Wola Przemykowska,Czortków,Radłów,Gutsgebiete,85,16,489,44,34,78,60,,8,4,,,0,ad 21,,,1,,,
1247,Wola Radłowska,Czortków,Radłów,Gutsgebiete,85,17,649,8,13,21,18,,3,,,,0,ad 22,,,0,,,
1248,Zabawa,Czortków,Radłów,Gutsgebiete,85,18,526,16,12,28,26,,,2,,,0,ad 23,,,0,,,
1249,Zaborów,Czortków,Radłów,Gutsgebiete,85,19,360,24,25,49,47,,2,,,,0,ad 24,,,0,,,
1250,Zdrochec,Czortków,Radłów,Gutsgebiete,85,20,362,27,36,63,59,,4,,,,0,ad 25,sum_gutsgebiete,,0,,,
1251,Summe der Gutsgebiete,Czortków,Radłów,Gutsgebiete,85,,9288,466,453,919,766,11,180,12,,,0,,sum_gb,,1,,,
1252,Summe des GB Radłów,Czortków,Radłów,Ortsgemeinden,85,,24584,12192,12922,25114,24147,14,931,22,,,0,,,,0,,,
1253,Biadoliny Radłow-skie,Czortków,Wojnicz,Ortsgemeinden,85,1,709,429,462,891,877,,14,,,,1,,,,0,,,
1254,Biadoliny Szlache-ckie,Czortków,Wojnicz,Ortsgemeinden,85,2,378,110,135,245,244,1,,,,,1,,,,0,,,
1255,Bielcza,Czortków,Wojnicz,Ortsgemeinden,85,3,1513,954,1029,1983,1945,,88,,,,0,,,,1,,,
1256,Bogumiłowice,Czortków,Wojnicz,Ortsgemeinden,85,4,316,332,327,659,632,,27,,,,0,,,,0,,,
1257,Grabno,Czortków,Wojnicz,Ortsgemeinden,85,5,606,506,529,1035,1010,,25,,,,1,,,,0,,,
1258,Jaworsko,Czortków,Wojnicz,Ortsgemeinden,85,6,393,315,339,654,654,,,,,,1,,,,0,,,
1259,Łętowice,Czortków,Wojnicz,Ortsgemeinden,85,7,649,487,580,1067,1046,,21,,,,0,,,,0,,,
1260,Dębina Łętowska,Czortków,Wojnicz,Ortsgemeinden,85,,,78,106,184,176,,8,,,,1,,,,0,,,
1261,Łętowice,Czortków,Wojnicz,Ortsgemeinden,85,,,409,474,883,870,,18,,,,1,,,,1,,,
1262,Łopoń,Czortków,Wojnicz,Ortsgemeinden,85,8,421,285,345,630,623,,7,,,,1,,,,0,,,
1263,Łukanowice,Czortków,Wojnicz,Ortsgemeinden,85,9,251,246,265,511,462,,49,,,,0,,,,0,,,
1264,Łysa Góra,Czortków,Wojnicz,Ortsgemeinden,85,10,772,549,565,1114,1095,,19,,,,1,,,,0,,,
1265,Milówka,Czortków,Wojnicz,Ortsgemeinden,85,11,303,218,245,463,459,,4,,,,1,,,,0,,,
1266,Olszyny,Czortków,Wojnicz,Ortsgemeinden,87,12,420,342,406,748,748,,,,,,0,,,,0,,,
1267,Olszyny,Czortków,Wojnicz,Ortsgemeinden,87,1,,275,313,588,588,,,,,,1,,,,0,,,
1268,Sukmanie,Czortków,Wojnicz,Ortsgemeinden,87,2,,67,93,160,160,,,,,,1,,,,0,,,
1269,Perľa,Czortków,Wojnicz,Ortsgemeinden,87,13,166,84,93,177,171,,6,,,,1,,,,0,,,
1270,Rudka,Czortków,Wojnicz,Ortsgemeinden,87,14,63,92,107,199,199,,,,,,1,,,,0,,,
1271,Sufezyn,Czortków,Wojnicz,Ortsgemeinden,87,15,519,516,553,1069,1045,,24,,,,0,,,,0,,,
1272,Więckowice,Czortków,Wojnicz,Ortsgemeinden,87,16,76,99,117,216,216,,,,,,1,,,,0,,,
1273,Wielka Wieś,Czortków,Wojnicz,Ortsgemeinden,87,17,304,287,303,590,564,,26,,,,1,,,,0,,,
1274,Wojnicz GO. 1896 © 1),Czortków,Wojnicz,Ortsgemeinden,87,18,585,762,852,1614,1443,8,163,,,,0,,,,0,,,
1275,Zakrzów,Czortków,Wojnicz,Ortsgemeinden,87,19,150,184,190,374,371,,3,,,,0,,,vide 18,0,,,
1276,Zamoście,Czortków,Wojnicz,Ortsgemeinden,87,20,18,248,269,517,465,,59,,,,0,,,,1,,,
1277,Ratnawv,Czortków,Wojnicz,Ortsgemeinden,87,1,,62,53,115,113,,2,,,,0,,,,0,,,
1278,Zamoście,Czortków,Wojnicz,Ortsgemeinden,87,2,,186,216,402,359,,50,,,,1,,sum_ortsgemeinden,,1,,,
1279,Summe der Ortsgemeinden,Czortków,Wojnicz,Ortsgemeinden,87,,8594,7045,7711,14756,14269,9,478,,,,0,,,,0,,,
1280,Biadoliny Radłow-skie,Czortków,Wojnicz,Gutsgebiete,87,1,859,2,2,4,4,,,,,,0,ad 1,,,0,,,
1281,Bielcza,Czortków,Wojnicz,Gutsgebiete,87,2,667,10,16,26,26,,,,,,0,ad 3,,,0,,,
1282,Bogumiłowice,Czortków,Wojnicz,Gutsgebiete,87,3,148,,,,,,,,,,0,ad 4,,,0,,,
1283,Grabno,Czortków,Wojnicz,Gutsgebiete,87,4,290,5,8,13,13,,,,,,0,ad 5,,,0,,,
1284,Jaworsko,Czortków,Wojnicz,Gutsgebiete,87,5,48,8,8,16,5,,11,,,,0,ad 6,,,0,,,
1285,Łętowice,Czortków,Wojnicz,Gutsgebiete,87,6,826,19,15,34,27,,7,,,,0,ad 7,,,0,,,
1286,Lopoń,Czortków,Wojnicz,Gutsgebiete,87,7,129,11,9,20,7,,13,,,,0,ad 8,,,0,,,
1287,Łukanowice,Czortków,Wojnicz,Gutsgebiete,87,8,217,30,26,56,34,,22,,,,0,ad 9,,,0,,,
1288,Łysa Góra,Czortków,Wojnicz,Gutsgebiete,87,9,3,,,,,,,,,,0,ad 10,,,0,,,
1289,Milówka,Czortków,Wojnicz,Gutsgebiete,87,10,223,1,2,3,3,,,,,,0,ad 11,,,0,,,
1290,Olszyny,Czortków,Wojnicz,Gutsgebiete,87,11,599,35,33,68,68,,,,,,0,ad 12,,,0,,,
1291,Olszyny,Czortków,Wojnicz,Gutsgebiete,87,1,,21,19,40,40,,,,,,0,,,,0,,,
1292,Sukmanie,Czortków,Wojnicz,Gutsgebiete,87,2,,14,14,28,28,,,,,,0,,,,0,,,
1293,Perfa,Czortków,Wojnicz,Gutsgebiete,87,12,247,3,3,6,6,,,,,,0,ad 13,,,0,,,
1294,Rudka,Czortków,Wojnicz,Gutsgebiete,87,13,179,7,13,20,20,,,,,,0,ad 14,,,0,,,
1295,Sufczyn,Czortków,Wojnicz,Gutsgebiete,87,14,439,11,17,28,16,1,11,,,,0,ad 15,,,0,,,
1296,Więckowice,Czortków,Wojnicz,Gutsgebiete,87,15,210,51,50,101,97,,4,,,,0,ad 16,,,0,,,
1297,Wielka Wieś,Czortków,Wojnicz,Gutsgebiete,87,16,554,60,49,109,108,,1,,,,0,ad 17,,,0,,,
1298,Zakrzów,Czortków,Wojnicz,Gutsgebiete,87,17,317,20,15,35,35,,,,,,0,ad 19,,,0,,,
1299,Zamoście,Czortków,Wojnicz,Gutsgebiete,87,18,263,62,65,127,89,,38,,,,0,ad 20,,,0,,,
1300,Ratnawy,Czortków,Wojnicz,Gutsgebiete,87,1,,13,11,24,13,,11,,,,0,,,,0,,,
1301,Zamoście,Czortków,Wojnicz,Gutsgebiete,87,2,,49,54,103,76,,27,,,,0,,sum_gutsgebiete,,0,,,
1302,Summe der Gutsgebiete,Czortków,Wojnicz,Gutsgebiete,87,,6218,335,331,666,558,1,106,1,,,0,,sum_gb,,0,,,
1303,Summe des GB. Wojnicz,Czortków,Wojnicz,Ortsgemeinden,87,,14812,7380,8042,15422,14827,10,584,1,,,0,,,,0,,,
1304,Bieśnik,Czortków,Zakliczyn,Ortsgemeinden,89,1,230,140,150,290,273,,17,,,,1,,,,0,,,
1305,Biskupice Melsztyń-skie,Czortków,Zakliczyn,Ortsgemeinden,89,2,131,174,175,349,345,,4,,,,0,,,,0,,,
1306,Biskupice Melsztyń-skie,Czortków,Zakliczyn,Ortsgemeinden,89,1,,81,78,159,159,,,,,,1,,,,0,,,
1307,Domosławice,Czortków,Zakliczyn,Ortsgemeinden,89,2,,93,97,190,186,,4,,,,1,,,,0,,,
1308,Borowa,Czortków,Zakliczyn,Ortsgemeinden,89,3,301,213,200,413,368,,45,,,,1,,,,0,,,
1309,Charzewice,Czortków,Zakliczyn,Ortsgemeinden,89,4,211,245,203,448,424,,24,,,,0,,,,0,,,
1310,Charzewice,Czortków,Zakliczyn,Ortsgemeinden,89,1,,114,105,219,219,,,,,,1,,,,0,,,
1311,Melsztyn,Czortków,Zakliczyn,Ortsgemeinden,89,2,,131,98,229,205,,24,,,,1,,,,0,,,
1312,Dzierzaniny,Czortków,Zakliczyn,Ortsgemeinden,89,5,432,239,206,445,427,,18,,,,1,,,,0,,,
1313,Faliszowice,Czortków,Zakliczyn,Ortsgemeinden,89,6,213,168,179,347,338,,9,,,,1,,,,0,,,
1314,Faściszowa,Czortków,Zakliczyn,Ortsgemeinden,89,7,223,235,264,499,495,,4,,,,0,,,,0,,,
1315,Filipowice,Czortków,Zakliczyn,Ortsgemeinden,89,8,442,286,315,601,560,,41,,,,1,,,,0,,,
1316,Gwoździec,Czortków,Zakliczyn,Ortsgemeinden,89,9,732,402,441,843,813,,30,,,,1,,,,0,,,
1317,Kończyska,Czortków,Zakliczyn,Ortsgemeinden,89,10,196,201,258,459,459,,,,,,1,,,,0,,,
1318,Lusławice,Czortków,Zakliczyn,Ortsgemeinden,89,11,94,208,243,451,422,,29,,,,1,,,,0,,,
1319,Niedźwiedza,Czortków,Zakliczyn,Ortsgemeinden,89,12,445,224,277,501,497,,4,,,,1,,,,0,,,
1320,Olszowa,Czortków,Zakliczyn,Ortsgemeinden,89,13,401,245,273,518,486,,32,,,,1,,,,0,,,
1321,Paleśnica,Czortków,Zakliczyn,Ortsgemeinden,89,14,394,222,268,490,440,,50,,,,1,,,,0,,,
1322,Piaski Drużków,Czortków,Zakliczyn,Ortsgemeinden,89,15,491,260,242,502,497,,5,,,,0,,,,0,,,
1323,Roztoka,Czortków,Zakliczyn,Ortsgemeinden,89,16,95,92,108,200,200,,,,,,1,,,,0,,,
1324,Ruda Kameralna,Czortków,Zakliczyn,Ortsgemeinden,89,17,650,367,352,719,700,,19,,,,1,,,,0,,,
1325,Słona,Czortków,Zakliczyn,Ortsgemeinden,89,18,393,213,266,479,471,,8,,,,0,,,,0,,,
1326,Stróże,Czortków,Zakliczyn,Ortsgemeinden,89,19,75,112,122,234,227,,7,,,,1,,,,0,,,
1327,Wesołów,Czortków,Zakliczyn,Ortsgemeinden,89,20,297,292,338,630,599,,31,,,,0,,,,0,,,
1328,Wola Stróżka,Czortków,Zakliczyn,Ortsgemeinden,89,21,310,287,306,593,593,,,,,,1,,,,0,,,
1329,Zakliczyn,Czortków,Zakliczyn,Ortsgemeinden,89,22,317,601,651,1252,1012,,240,,,,0,,,,0,,,
1330,Zawada Lanckoroń-ska,Czortków,Zakliczyn,Ortsgemeinden,89,23,192,169,174,343,340,,3,,,,1,,,,0,,,
1331,Zdonia,Czortków,Zakliczyn,Ortsgemeinden,89,24,241,194,221,415,410,,5,,,,1,,,,0,,,
1332,Złota,Czortków,Zakliczyn,Ortsgemeinden,89,25,657,476,528,1004,994,,10,,,,1,,sum_ortsgemeinden,,0,,,
1333,Summe der Ortsgemeinden,Czortków,Zakliczyn,Ortsgemeinden,89,,8163,6265,6760,13025,12390,,635,,,,0,,,,0,,,
1334,Bieśnik,Czortków,Zakliczyn,Gutsgebiete,89,1,155,,,,,,,,,,0,ad 1,,,0,,,
1335,Biskupice Melsztyń-skie,Czortków,Zakliczyn,Gutsgebiete,89,2,381,25,22,47,46,,1,,,,0,ad 2,,,0,,,
1336,Biskupice Melsztyń-skie,Czortków,Zakliczyn,Gutsgebiete,89,1,,11,12,23,22,,1,,,,0,,,,0,,,
1337,Domosławice,Czortków,Zakliczyn,Gutsgebiete,89,2,,14,10,24,24,,,,,,0,,,,0,,,
1338,Borowa,Czortków,Zakliczyn,Gutsgebiete,89,3,357,3,5,8,8,,,,,,0,ad 3,,,0,,,
1339,Charzewice,Czortków,Zakliczyn,Gutsgebiete,89,4,513,19,20,39,39,,,,,,0,ad 4,,,0,,,
1340,Charzewice,Czortków,Zakliczyn,Gutsgebiete,89,1,,19,20,39,39,,,,,,0,,,,0,,,
1341,Melsztyn,Czortków,Zakliczyn,Gutsgebiete,89,2,,,,,,,,,,,0,,,,0,,,
1342,Faliszowice,Czortków,Zakliczyn,Gutsgebiete,91,5,7,,,,,,,,,,0,ad 6,,,0,,,
1343,Faściszowa,Czortków,Zakliczyn,Gutsgebiete,91,6,304,4,3,7,4,,3,,,,0,ad 7,,,0,,,
1344,Filipowice,Czortków,Zakliczyn,Gutsgebiete,91,7,368,17,18,35,35,,,,,,0,ad 8,,,0,,,
1345,Gwoździec,Czortków,Zakliczyn,Gutsgebiete,91,8,218,9,12,21,21,,,,,,0,ad 9,,,0,,,
1346,Kończyska,Czortków,Zakliczyn,Gutsgebiete,91,9,111,4,5,9,1,,,8,,,0,ad 10,,,0,,,
1347,Lusławice,Czortków,Zakliczyn,Gutsgebiete,91,10,398,44,41,85,85,,,,,,0,ad 11,,,0,,,
1348,Olszowa,Czortków,Zakliczyn,Gutsgebiete,91,11,164,9,10,19,19,,,,,,0,ad 13,,,0,,,
1349,Paleśnica,Czortków,Zakliczyn,Gutsgebiete,91,12,280,,,,,,,,,,0,ad 14,,,0,,,
1350,Piaski Drużków,Czortków,Zakliczyn,Gutsgebiete,91,13,385,71,61,132,124,,,8,,,0,ad 15,,,0,,,
1351,Roztoka,Czortków,Zakliczyn,Gutsgebiete,91,14,215,22,16,38,25,,,13,,,0,ad 16,,,0,,,
1352,Słona,Czortków,Zakliczyn,Gutsgebiete,91,15,217,,,,,,,,,,0,ad 18,,,0,,,
1353,Stróże,Czortków,Zakliczyn,Gutsgebiete,91,16,407,22,20,42,42,,,,,,0,ad 19,,,0,,,
1354,Wesołów,Czortków,Zakliczyn,Gutsgebiete,91,17,412,49,47,96,88,,,8,,,0,ad 20,,,0,,,
1355,Wola Stróżka,Czortków,Zakliczyn,Gutsgebiete,91,18,121,,,,,,,,,,0,ad 21,,,0,,,
1356,Zakliczyn,Czortków,Zakliczyn,Gutsgebiete,91,19,61,,,,,,,,,,0,ad 22,,,0,,,
1357,Zawada Lanckoroń-ska,Czortków,Zakliczyn,Gutsgebiete,91,20,161,,,,,,,,,,0,ad 23,,,0,,,
1358,Zdonia,Czortków,Zakliczyn,Gutsgebiete,91,21,198,17,18,35,35,,,,,,0,ad 24,,,0,,,
1359,Złota,Czortków,Zakliczyn,Gutsgebiete,91,22,159,,,,,,,,,,0,ad 25,sum_gutsgebiete,,0,,,
1360,Summe der Gutsgebiete,Czortków,Zakliczyn,Gutsgebiete,91,,5592,315,298,613,572,,,41,,,0,,sum_gb,,0,,,
1361,Summe des GB. Zakliczyn,Czortków,Zakliczyn,Gutsgebiete,91,,13755,6580,7058,13638,12962,,,676,,,0,,,,0,,,
1362,Brzeżany,Czortków,Kozowa,Gutsgebiete,93,3,2227,5990,5453,11443,4150,2605,4895,298,,,0,,,,1,,,
1363,1. Adamówka,Czortków,Kozowa,Gutsgebiete,93,,,817,891,1708,,,,,,,0,,,,,,,
1364,2. Brzeżany,Czortków,Kozowa,Gutsgebiete,93,,3600,2959,6559,,,,,,,,0,,,,0,,,
1365,darunter Militär,Czortków,Kozowa,Gutsgebiete,93,,,832,,832,227,282,90,233,,,0,,,,0,,,
1366,3. Miasteczko,Czortków,Kozowa,Gutsgebiete,93,,,1119,1135,2254,,,,,,,0,,,,,,,
1367,4. Siółko,Czortków,Kozowa,Gutsgebiete,93,,,454,468,922,,,,,,,0,,,,,,,
1368,Buszcze,Czortków,Kozowa,Gutsgebiete,93,4,790,429,438,867,311,501,55,,,,0,,,,0,,,
1369,Byszki,Czortków,Kozowa,Gutsgebiete,93,5,873,596,619,1215,100,1089,26,,,,0,,,vide 25,0,,,
1370,Demnia,Czortków,Kozowa,Gutsgebiete,93,6,25,113,112,225,173,42,10,,,,0,,,,0,,,
1371,Dryszczów,Czortków,Kozowa,Gutsgebiete,93,7,529,359,415,774,106,664,4,,,,0,,,,0,,,
1372,Dworce,Czortków,Kozowa,Gutsgebiete,93,8,145,133,123,256,65,183,8,,,,0,,,,0,,,
1373,Hinowice,Czortków,Kozowa,Gutsgebiete,93,9,495,353,329,682,89,576,17,,,,0,,,vide 25,0,,,
1374,Hucisko,Czortków,Kozowa,Gutsgebiete,93,10,25,224,216,440,411,14,15,,,,0,,,,0,,,
1375,Koniuchy,Czortków,Kozowa,Gutsgebiete,93,11,3258,1495,1502,2997,226,2640,129,,,,0,,,,1,,,
1376,Kotów,Czortków,Kozowa,Gutsgebiete,93,12,783,520,488,1008,176,816,16,,,,0,,,,0,,,
1377,Krasnopuszcza,Czortków,Kozowa,Gutsgebiete,93,13,79,125,130,255,13,235,7,,,,0,,,,0,,,
1378,Kuropatniki,Czortków,Kozowa,Gutsgebiete,93,14,1606,879,842,1721,993,685,48,,,,0,,,,1,,,
1379,Budyłówka,Czortków,Kozowa,Gutsgebiete,93,1,,16,13,29,13,9,7,,,,0,,,,0,,,
1380,Kuropatniki,Czortków,Kozowa,Gutsgebiete,93,2,,863,829,1692,980,676,36,,,,0,,,,0,,,
1381,Kurzany,Czortków,Kozowa,Gutsgebiete,93,15,1143,616,633,1249,372,840,37,,,,0,,,,0,,,
1382,Łapszyn,Czortków,Kozowa,Gutsgebiete,93,16,1486,870,917,1787,51,1689,47,,,,0,,,,0,,,
1383,Leśniki,Czortków,Kozowa,Gutsgebiete,93,17,741,435,412,847,85,758,4,,,,0,,,,0,,,
1384,Litiatyn,Czortków,Kozowa,Gutsgebiete,93,18,637,439,421,860,366,481,18,,,,0,,,,1,,,
1385,Mieczyszczów,Czortków,Kozowa,Gutsgebiete,93,19,1491,836,822,1658,238,1348,72,,,,0,,,,0,,,
1386,Nadorożniów,Czortków,Kozowa,Gutsgebiete,93,20,322,149,165,314,127,183,4,,,,0,,,,0,,,
1387,Narajów Miasto,Czortków,Kozowa,Gutsgebiete,93,21,2628,1345,1393,2738,436,1409,879,14,,,0,,,,0,,,
1388,Narajów Wieś,Czortków,Kozowa,Gutsgebiete,93,22,,527,552,1079,189,822,68,,,,0,,,,0,,,
1389,Olchowiec,Czortków,Kozowa,Gutsgebiete,93,23,757,389,412,801,99,694,8,,,,0,,,,0,,,
1390,Plichów,Czortków,Kozowa,Gutsgebiete,93,24,203,262,279,541,245,287,9,,,,0,,,,0,,,
1391,Plichów,Czortków,Kozowa,Gutsgebiete,93,1,,178,186,364,90,270,,,,,0,,,,1,,,
1392,Wolica,Czortków,Kozowa,Gutsgebiete,93,2,,84,93,177,155,17,5,,,,0,,,,0,,,
1393,Podwysokie,Czortków,Kozowa,Gutsgebiete,93,25,454,238,219,457,293,146,18,,,,0,,,,0,,,
1394,Poruczyn,Czortków,Kozowa,Gutsgebiete,93,26,935,416,425,841,71,797,43,,,,0,,,,1,,,
1395,Posuchów,Czortków,Kozowa,Gutsgebiete,93,27,587,343,331,674,60,608,6,,,,0,,,,0,,,
1396,Potoczany,Czortków,Kozowa,Gutsgebiete,93,28,629,375,387,762,165,583,14,,,,0,,,,0,,,
1397,Potok,Czortków,Kozowa,Gutsgebiete,93,29,878,421,407,828,169,628,31,,,,0,,,,0,,,
1398,Potutory,Czortków,Kozowa,Gutsgebiete,93,30,1198,415,460,875,44,814,17,,,,0,,,vide 20,0,,,
