id,name,region,country,modern_country,presence_type,year_code,source,alternative_names,events,notes
1411,FABIANHAZA,Szatmar,Hungary,,jews_arrived,1800,Jews settled c. 1800,[],[],
1412,FAGARAS,S. Transylvania,Rumania,,community_founded,1827,A J. community was established in 1827,"[{'lang': 'hun', 'name': 'Fogaras'}]",[],
1413,FAGET,S. Transylvania,Rumania,,community_founded,16MX,"first settled in the mid-18th cent., organizing a community","[{'lang': 'hun', 'name': 'Facsad'}, {'lang': 'hun', 'name': 'Facsed'}]",[],
1414,FALCIU,Moldavia,Rumania,,jews_arrived,16MX,Jews first settled in the mid-18th cent.,[],"[{'event': '1907 revolt', 'year': '1907', 'impact': 'homes and stores of 64 Jewish families destroyed', 'source': 'peasants destroyed the homes and stores of 64 J. families'}]",
1415,FALENICA,Warsaw,Poland,,community_founded,1900,founded a community around 1900,[],[],
1416,FALESTI,Bessarabia,Rumania,Republic of Moldova,jews_arrived,16LX,Jews first settled in the late 18th cent.,[],"[{'event': 'land grant for agriculture', 'year': '1918', 'impact': 'granted land', 'source': 'In 1918 they were granted land for agriculture'}]",
1417,FALKENBERG,Hesse-Nassau,Germany,,community_present,16MX,"Established before 1750, the J. community",[],[],
1418,FALKENBURG,Pomerania,Germany,Poland,jews_present,1720,A Jew was present in 1720,"[{'lang': 'pol', 'name': 'Złocieniec'}]",[],
1419,FALKENSTEIN (I),Hesse-Nassau,Germany,,jews_present,14MX,Jews lived in F. before they were expelled during the Black Death persecutions of 1348–49,[],"[{'event': 'Black Death persecutions', 'year': '1348–1349', 'impact': 'Jews expelled', 'source': 'expelled during the Black Death persecutions of 1348–49'}]",
1420,FALKENSTEIN (II),Saxony,Germany,,jews_present,18XX,A small J. settlement existed in the 19th cent.,[],[],
1421,FALTICENI,Moldavia,Rumania,,jews_arrived,1780,Jews founded F. under a privilege granted in 1780,[],[],
1422,FANCIKOVO,Carpatho-Russia,Czechoslovakia,Ukraine,jews_arrived,18EX,J. settlement commenced in the early 19th cent.,"[{'lang': 'hun', 'name': 'Fancsika'}]",[],
1423,FARAD,Sopron,Hungary,,jews_arrived,17XX,Permanent J. settlement commenced in the 18th cent.,[],[],
1424,FARKASD,Slovakia,Czechoslovakia,Republic of Slovakia,jews_arrived,1830,Jews probably settled in the 1830s,[],[],
1425,FARSALA,Thessaly,Greece,,jews_present,18MX,A small J. settlement in the mid-19th cent.,[],[],
1426,FASTOW,Kiev,Ukraine,,POP,1765,The J. pop. was 381 in 1765,[],"[{'event': 'Haidamak attacks', 'year': '18LX', 'impact': 'J. property pillaged and destroyed', 'source': 'In the late 18th cent., J. property was pillaged and destroyed in Haidamak attacks'}]",
1427,FAULQUEMONT,Moselle,France,,community_present,1900,The local synagogue was inaugurated in 1900,[],[],
1428,FECHENBACH,Lower Franconia,Germany,,jews_present,17EX,Jews were present in the early 18th cent.,[],[],
1430,FEGERSHEIM,Bas-Rhin,France,,community_present,1784,the J. community comprised 175 members,[],[],
1431,FEGYVERNEK,Jasz-Nagykun-Szolnok,Hungary,,jews_arrived,18EX,Jews settled in the first half of the 19th cent.,[],[],
1432,FEHERGYARMAT,Szatmar,Hungary,,jews_arrived,17LX,Jews arrived in the late 18th cent.,[],[],
1433,FELEDINCE,Slovakia,Czechoslovakia,Republic of Slovakia,jews_arrived,18MX,Jews settled in the mid-19th cent.,"[{'lang': 'hun', 'name': 'Feled'}]",[],
1434,FELLHEIM,Swabia,Germany,,jews_arrived,1670,Five J. families were among the settlers who rebuilt the village in 1670,[],[],
1435,FELSBERG,Hesse-Nassau,Germany,,community_founded,17XX,"Established in the 18th cent., the community",[],[],
1436,FELSHTIN,Kamenets-Podolski,Ukraine,,jews_arrived,16XX,Jews settled in the 17th cent.,"[{'lang': 'rus', 'name': 'Gvardeiskoye'}]","[{'event': 'pogrom', 'year': '16 Feb. 1919', 'impact': '', 'source': 'In a pogrom on 16 Feb. 1919, during the civi'}]",
1437,FELSOGALLA,Komarom,Hungary,,jews_arrived,18EX,Jews settled in the early 19th cent,[],[],
1438,FELSOGOD,Pest,Hungary,,POP,1930,The J. pop. came to 149 in 1930,[],[],
1439,FELSOZSOLCA,Borsod,Hungary,,jews_arrived,17EX,Jews arrived from Moravia and Poland in the early 18th cent.,[],[],
1440,FELSZTYN,Lwow,Poland,Ukraine,jews_present,16EX,Jews were present from the early 17th cent.,[],[],
1441,FENETRANGE,Moselle,France,,community_founded,17XX,The J. community was established in the 18th cent.,[],[],
1442,FENYESLITKE,Szabolcs,Hungary,,first_mention,1770,Jews from Carpathia are first mentioned in the census of 1770,[],[],
1443,FERRARA,,Italy,,first_mention,10LX,The J. presence in F. is recorded from the second half of the 11th cent.,[],"[{'event': 'privileges granted', 'year': '1275', 'impact': '', 'source': 'In 1275, the local Jews received privileges'}]",
1444,FERRYVILLE,Bizerta,Tunisia,,jews_arrived,19XX,Jews from Bizerta and Tunis settled in F. in the 20th cent.,"[{'lang': 'ara', 'name': 'Manzil Bourgiba'}]",[],
1445,FERTE-SOUS-JOUARRE,Seine-et-Marne,France,,community_present,1867,"In 1867, 16 members of the community bought a house for use as a synagogue",[],[],
1446,FERTOSZENTMIKLOS,Sopron,Hungary,,jews_arrived,17EX,Jews settled in the first half of the 18th cent,[],[],
1447,FESTENBERG,Lower Silesia,Germany,Poland,community_present,16MX,The J. community dates from the mid-17th cent.,"[{'lang': 'pol', 'name': 'Twardogora'}]",[],
1448,FEUCHTWANGEN,Middle Franconia,Germany,,jews_present,12LX,Jews were present in the second half of the 13th cent.,"[{'lang': 'heb', 'name': 'Vahtvank'}]","[{'event': 'Black Death persecutions', 'year': '1348–1349', 'impact': 'community destroyed', 'source': 'The community was destroyed in the Black Death persecutions of 1348-49'}]",
1449,FEUDENHEIM,Baden,Germany,,POP,1860,The J. pop. in 1860 was 125,[],[],
1450,FILAKOVO,Slovakia,Czechoslovakia,Slovakia,jews_arrived,18EX,Jews probably settled in the 1830s,"[{'lang': 'hun', 'name': 'Fulek'}]","[{'event': 'community recognized', 'year': '1872', 'impact': '', 'source': 'The community was officially recognized in 1872'}]",
1451,FILEA,N. Transylvania,Rumania,,jews_arrived,18EX,Jews settled around the early 19th cent.,"[{'lang': 'hun', 'name': 'Fulehaz'}]",[],
1452,FILIPEC,Carpatho-Russia,Czechoslovakia,Ukraine,jews_arrived,18EX,J. refugees from Galicia settled in the early 19th cent.,"[{'lang': 'hun', 'name': 'Fulopfalva'}]",[],
1453,FILIPOW,Bialystok,Poland,,jews_arrived,17XX,Jews settled in the 18th cent.,[],[],
1454,FIRLEJ,Lublin,Poland,,jews_present,15XX,Jews were among the town's first residents in the 16th cent.,[],"[{'event': 'residence privilege', 'year': '1664', 'impact': '', 'source': 'granted a privilege of unlimited residence in 1664'}]",
1455,FISCHACH,Swabia,Germany,,jews_present,15LX,A J. settlement existed in the last quarter of the 16th cent.,[],"[{'event': 'influx after expulsion', 'year': '1617', 'impact': 'augmented by Jews expelled from the Burgau margravate', 'source': 'augmented by Jews expelled from the Burgau margravate in 1617'}, {'event': 'synagogue built', 'year': '1739', 'impact': '', 'source': 'A synagogue was built in 1739'}]",
1456,FISCHBORN,Hesse-Nassau,Germany,,community_founded,1823,"Established in 1823, the community",[],"[{'event': 'synagogue built', 'year': '1868', 'impact': '', 'source': 'built a synagogue in 1868'}]",
1457,FLACHT,Hesse-Nassau,Germany,,community_founded,19EX,only managed to establish an independent community after WWI,[],[],
1458,FLAMERSHEIM,Rhineland,Germany,,jews_arrived,1659,two J. families arrived in 1659,[],"[{'event': 'cemetery opened', 'year': '1828', 'impact': '', 'source': 'A cemetery was opened in 1828'}, {'event': 'synagogue opened', 'year': '1878', 'impact': '', 'source': 'a synagogue in 1878'}]",
1459,FLATOW,Posen-West,Germany,Poland,first_mention,1564,Jews are first mentioned in 1564,"[{'lang': 'pol', 'name': 'Zlotow'}]","[{'event': 'Swedish invasion persecutions', 'year': '1655–1657', 'impact': 'a number of Jews executed', 'source': 'the Poles executed a number of Jews on trumped-up charges'}]",
1460,FLEHINGEN,Baden,Germany,,first_mention,1548,Jews are first mentioned in 1548,[],"[{'event': 'post–Thirty Years War resettlement', 'year': '1648', 'impact': 'Jews among the new settlers', 'source': 'were among the new settlers after the village was destroyed in the Thirty Years War (1618–48)'}]",
1461,FLENSBURG,Schleswig-Holstein,Germany,,jews_present,1835,Fifteen Jews were living there in 1835,[],[],
1462,FLIEDEN,Hesse-Nassau,Germany,,community_present,15XX,"Dating from the 16th cent., the community",[],"[{'event': 'expulsion', 'year': '1671', 'impact': 'community expelled', 'source': 'the community was expelled in 1671'}, {'event': 'revival', 'year': '1790', 'impact': 'grew to 25 families', 'source': 'revived and grew to 25 families in 1790'}, {'event': 'school opened', 'year': '1878', 'impact': '', 'source': 'The Jews opened a school in 1878'}, {'event': 'synagogue opened', 'year': '1885', 'impact': '', 'source': 'a new synagogue in 1885'}]",
1463,FLOERSHEIM,Hesse-Nassau,Germany,,jews_arrived,16EX,Jews settled there in the early 17th cent.,[],"[{'event': 'synagogue (oldest in Nassau)', 'year': '1718', 'impact': '', 'source': 'their synagogue (dating from 1718) was the oldest in Nassau'}]",
1464,FLONHEIM,Hesse,Germany,,jews_present,1650,Jews were living there by 1650,[],[],
1465,FLORENCE,Tuscany,Italy,,community_founded,1437,Communal life was organized in 1437,"[{'lang': 'ita', 'name': 'Firenze'}]","[{'event': 'invitation to moneylenders', 'year': '1430', 'impact': '', 'source': 'In 1430, moneylenders were officially invited to reside'}]",
1466,FLORINA,Macedonia,Greece,,community_present,16XX,A Sephardi community existed in F. in the 17th and 18th cents.,[],[],
1467,FLOSS,Upper Palatinate,Germany,,jews_arrived,1684,Four J. families received residence rights in 1684,[],[],
1468,FOCSANI,Moldavia,Rumania,,jews_arrived,16LX,Jews first settled in the late 17th cent.,[],"[{'event': 'emigration due to drought', 'year': '1900', 'impact': 'several hundred Jews left', 'source': 'In 1900, several hundred Jews left F. due to a drought'}]",
1469,FOLDES,Hajdu,Hungary,,jews_arrived,17LX,Jews arrived in the late 18th cent.,[],[],
1470,FOLTESTI,Moldavia,Rumania,,jews_arrived,18EX,Jews first settled in the early 19th cent.,[],[],
1471,FOLWARKI,Volhynia,Poland,Ukraine,jews_present,19EX,About 20 J. farm families lived there after WWI,[],[],
1472,FONTAINEBLEAU,Seine-et-Marne,France,,community_founded,1784,Jews from Alsace established the community in 1784,[],[],
1473,FORBACH,Moselle,France,,community_founded,17XX,The community was founded in the 18th cent.,[],[],
1474,FORCHHEIM,Upper Franconia,Germany,,jews_present,14XX,Jews lived in F. throughout the 15th cent.,[],"[{'event': 'Rindfleisch massacres', 'year': '1298', 'impact': 'at least 85 Jews murdered; early community destroyed', 'source': 'The early community was destroyed in the Rindfleisch massacres of 1298, with at least 85 Jews murdered'}]",
1475,FORDON,Poznan,Poland,,jews_arrived,15EX,The first Jews settled in the early 16th cent.,[],"[{'event': 'expellees from Bydgoszcz arrive', 'year': '1555', 'impact': 'community augmented', 'source': 'joined in 1555 by Jews expelled from Bydgoszcz'}]",
1476,FORRO,Abauj-Torna,Hungary,,jews_arrived,18EX,Jews settled in the early 19th cent.,[],[],
1477,FORST,Brandenburg,Germany,,community_founded,1821,A permanent settlement started up in 1821,[],"[{'event': 'expulsion', 'year': '1530s', 'impact': 'earlier settlement ended', 'source': 'A J. settlement dating from the beginning of the 16th cent. ended with expulsion in the 1530s'}]",
1478,FORTH,Middle Franconia,Germany,,jews_present,15LX,Jews were present in the late 16th cent.,[],[],
1479,FOUSSEMAGNE,Belfort,France,,community_present,1864,The local synagogue dates from 1864,[],[],
1480,FRAENKISCH-CRUMBACH,Hesse,Germany,,jews_present,17EX,Jews lived there from the early 18th cent.,[],[],
1481,FRAMERSHEIM,Hesse,Germany,,community_founded,1750,Established around 1750,[],[],
1482,FRAMPOL,Lublin,Poland,,jews_present,16EX,a small early 17th cent J. settlement,[],"[{'event': 'Cossack incursions', 'year': '1650s', 'impact': 'small early 17th-century settlement destroyed', 'source': 'Cossack incursions in the 1650s destroyed a small early 17th cent J. settlement'}]",
1483,FRANKENAU,Hesse-Nassau,Germany,,jews_present,16XX,Jews lived there from the 17th cent.,[],[],
1484,FRANKENBERG,Hesse-Nassau,Germany,,community_founded,16XX,the community dated from the 17th cent.,[],[],
1485,FRANKENSTEIN,Lower Silesia,Germany,Poland,jews_arrived,13LX,J. settlement commenced in the late 14th cent. at the latest,"[{'lang': 'pol', 'name': 'Ząbkowice Śląskie'}]",[],
1486,FRANKENTHAL,Palatinate,Germany,,jews_present,1586,present as temporary residents from at least 1586,[],[],
1487,FRANKENWINHEIM,Lower Franconia,Germany,,first_mention,17LX,Jews are known from the second half of the 18th cent.,[],[],
1488,FRANKERSHAUSEN,Hesse-Nassau,Germany,,jews_present,16XX,Jews lived there from the 17th cent.,[],[],
1489,FRANKFURT AM MAIN,Hesse-Nassau,Germany,,jews_present,10XX,visited by J. merchants from Worms in the 11th cent.,[],[],
1490,FRANKFURT AN DER ODER,Brandenburg,Germany,,community_present,12LX,A J. community existed from the second half of the 13th cent.,[],"[{'event': 'Expulsion of Jews of Brandenburg', 'year': '1510', 'impact': 'community came to an end', 'source': 'came to an end in the two expulsions of the Jews of Brandenburg in 1510 and 1573'}, {'event': 'Expulsion of Jews of Brandenburg', 'year': '1573', 'impact': 'community came to an end', 'source': 'came to an end in the two expulsions of the Jews of Brandenburg in 1510 and 1573'}]",
1491,FRANTISKOVY LAZNE,Bohemia,Czechoslovakia,,jews_arrived,18LX,In the late 19th cent. Jews arrived,[],[],Sudetenland
1492,FRASIN,Bukovina,Rumania,,jews_arrived,18MX,Jews settled in the mid-19th cent.,[],[],
1493,FRAUENKIRCHEN,Burgenland,Austria,,community_founded,1678,The community ... was founded in 1678,[],[],
1494,FRAULAUTERN,Saar,Germany,,POP,1895,The J. pop. was 45 in 1895,[],[],
1495,FRAUSTADT,Posen-West,Germany,Poland,community_present,15LX,"At the end of the 16th cent., there was a J. community","[{'lang': 'pol', 'name': 'Wschowa'}]",[],
1496,FRAYDORF (I),Crimea,Russia,Ukraine,community_founded,1926,founded in 1926 as a J. agricultural settlement,"[{'lang': 'rus', 'name': 'Novoshelovskoye'}]",[],
1497,FRAYDORF (II),Zaporozhe,Ukraine,,community_founded,1920–1924,colony was probably founded in the first half of the 1920s,[],[],
1498,FRAYFELD,Crimea,Russia,Ukraine,jews_arrived,19LX,J. settlement probably commenced in the late 1920s within the framework of organized J. agricultural settlement,[],[],
1499,FRAYLEBEN,Nikolaiev,Ukraine,,community_founded,,F. was founded as a J. colony,[],[],
1500,FRECHEN,Rhineland,Germany,,jews_present,17EX,J. settlement dates from at least the first half of the 18th cent.,[],[],
1501,FREIBERG,Saxony,Germany,,jews_present,13LX,Jews were living in F. probably in the second half of the 14th cent.,[],[],
1502,FREIBURG,Baden,Germany,,first_mention,1230,Jews are first mentioned in 1230,[],[],
1503,FREIENWALDE,Pomerania,Germany,Poland,jews_present,1705,There was a Jew living in F. in 1705,"[{'lang': 'pol', 'name': 'Chociewel'}]",[],
1504,"FREIENWALDE AN DER ODER, BAD",Brandenburg,Germany,,first_mention,1674,Evidence of a Jew in F. dates from 1674,[],[],
1505,FREISING,Upper Bavaria,Germany,,jews_present,12XX,Jews were possibly present in the 13th–14th cent.,[],[],
1506,FREISTETT,Baden,Germany,,jews_present,16XX,A J. settlement existed from the 17th cent.,[],[],
1507,FREREN,Hanover,Germany,,jews_present,1724,Jews lived there in 1724,[],[],
1508,FREUDENBERG,Baden,Germany,,community_founded,1442,A new settlement was founded in 1442,[],"[{'event': 'Rindfleisch massacres', 'year': '1298', 'impact': 'first community destroyed', 'source': 'The first J. community was destroyed in the Rindfleisch massacres of 1298'}, {'event': 'Disabilities imposed', 'year': '', 'impact': 'series of disabilities under local pressure', 'source': 'Under local pressure, a series of disabilities was imposed'}]",
1509,FREUDENBURG,Rhineland,Germany,,community_founded,1785,a synagogue erected in 1785,[],[],
1510,FREUDENTAL,Wuerttemberg,Germany,,jews_present,17XX,in the 18th cent. lived in F. under a liberal letter of protection,[],[],
1511,FREYSTADT,East Prussia,Germany,Poland,community_present,16XX,The consecration of a J. cemetery in the 17th cent. indicates the presence of a community,"[{'lang': 'pol', 'name': 'Kisielice'}]",[],
1512,FRICKHOFEN,Hesse-Nassau,Germany,,POP,1843,"Numbering 47 in 1843, the Jews had a synagogue",[],[],
1513,FRIEDBERG,Hesse,Germany,,jews_present,1241,Jews were living there in 1241,[],"[{'event': 'Ransom exactions', 'year': '', 'impact': 'Jews often held for ransom', 'source': 'the Jews were often held for ransom'}]",
1514,FRIEDEBERG,Brandenburg,Germany,Poland,jews_present,12XX,A ritual bath (mikve) indicates that Jews were living in F. in the 13th cent.,"[{'lang': 'pol', 'name': 'Strzelce Krajenskie'}]",[],
1515,FRIEDLAND,East Prussia,Germany,Russia,POP,19EX,The J. pop. was 51 in 1880,"[{'lang': 'rus', 'name': 'Pravdinsk'}]",[],
1516,FRIEDRICHSTADT,Schleswig-Holstein,Germany,,jews_arrived,1674,Jews began to settle there in 1674,[],[],
1517,FRIELENDORF,Hesse-Nassau,Germany,,community_founded,1812,"Established around 1812, the community",[],[],
1518,FRIESENHEIM,Baden,Germany,,jews_present,16MX,Jews were present by the mid-17th cent.,[],[],
1519,FRIESHEIM,Rhineland,Germany,,jews_present,16LX,Two to five J. families lived in F. from the second half of the 17th cent.,[],[],
1520,FRILING (I),Crimea,Russia,Ukraine,community_founded,1925,founded F. in 1925 as a J. settlement,[],[],
1521,FRILING (II),Odessa,Ukraine,,community_founded,19EX,F. was founded in the early 1920s as a J. colony,[],[],
1522,FRIMMERSDORF,Rhineland,Germany,,jews_present,18EX,Jews were present from the early 19th cent.,[],[],
1523,FRITZLAR,Hesse-Nassau,Germany,,jews_present,1348,Jews living there fell victim to the Black Death persecutions (1348-49),"[{'lang': 'yid', 'name': 'Virshlar'}]","[{'event': 'Black Death persecutions', 'year': '1348–1349', 'impact': 'community suffered persecutions', 'source': 'fell victim to the Black Death persecutions (1348-49)'}]",
1524,FRONHAUSEN,Hesse-Nassau,Germany,,community_present,1878,was based in F. after 1878,[],[],
1525,FRUMUSICA,Moldavia,Rumania,,jews_present,1832,"In 1832, there were 82 Jews in F.",[],[],
1526,FRUNZOVKA,Odessa,Ukraine,,jews_present,1897,"The J. pop. in 1897 was 1,732",[],[],
1527,FRYDEK-MISTEK,Moravia,Czechoslovakia,,community_founded,18LX,Two communities were formed in the two towns in the latter half of the 19th cent.,[],[],
1528,FRYSZTAK,Lwow,Poland,,community_founded,16MX,The organized J community dates from the mid-17th cent.,[],[],
1529,FUERFELD,Hesse,Germany,,jews_present,18EX,Jews lived there from the beginning of the 19th cent.,[],[],
1530,FUERSTENAU (I),Westphalia,Germany,,first_mention,1683,A protected Jew is mentioned in 1683.,[],[],
1531,FUERSTENAU (II),Hanover,Germany,,community_founded,1844,established a district community numbering 45 in 1844,[],[],
1532,FUERSTENWALDE,Brandenburg,Germany,,first_mention,1379,Evidence of a J. presence dates back to 1379,[],"[{'event': 'Persecution', 'year': '1379', 'impact': 'a Jew burned to death', 'source': 'an account of a Jew being burned to death'}]",
1533,FUERTH,Middle Franconia,Germany,,community_founded,15EX,a new community was founded in the first half of the 16th,[],"[{'event': 'Expulsion', 'year': '15XX', 'impact': 'Jews expelled', 'source': 'The Jews present in the 15th cent. were apparently expelled'}]",
1534,FULDA,Hesse-Nassau,Germany,,jews_present,1096,their pop. only became substantial after the First Crusade (1096),[],"[{'event': 'Blood libel', 'year': '1235', 'impact': '32 martyred', 'source': 'A blood libel in 1235 led to the martyrdom of 32'}]",
1535,FULESD,Szatmar,Hungary,,jews_arrived,17LX,Jews settled in the late 18th cent.,[],[],
1536,FULUPSZALLAS,Pest-Pilis-Solt-Kiskun,Hungary,,jews_arrived,1830,Jews arrived c. 1830,[],"[{'event': 'White Terror', 'year': '', 'impact': 'antisemitic violence', 'source': 'suffering in the post-WWI White Terror'}]",
1537,FUZESABONY,Heves,Hungary,,jews_arrived,18LX,Jews were only allowed to settle in F. in the late 19th cent.,[],[],
1538,FUZESGYARMAT,Bekes,Hungary,,jews_arrived,18LX,Jews settled in the late 19th cent.,[],[],
1539,GABES,Gabes,Tunisia,,first_mention,8XX,Jews are first mentioned in the ninth cent.,[],[],
1540,GACH,Bialystok,Poland,,community_founded,18EX,"Dating from the early 19th cent., the community",[],[],
1541,GACSALY,Szatmar,Hungary,,jews_arrived,18EX,Jews settled in the early 19th cent.,[],[],
1542,GAENSERNDORF,Lower Austria,Austria,,jews_arrived,18MX,J. settlement began in the middle of the 19th cent.,[],[],
1543,GAESTI,Moldavia,Rumania,,jews_arrived,18LX,Jews first settled in the 1880s.,[],[],
1544,GAFSA,Gafsa,Tunisia,,community_present,9XX,An important J. community apparently existed by the tenth cent.,[],"[{'event': 'Almohads persecution', 'year': '1149–1150', 'impact': 'community destroyed', 'source': 'The community was destroyed by the Almohads in 1149-50'}]",
1545,GAILINGEN,Baden,Germany,,jews_arrived,1655,The first Jews settled in 1655,[],[],
1546,GAIVORON,Odessa,Ukraine,,POP,1939,The J. pop. in 1939 was 841,[],[],
1547,GAJARY,Slovakia,Czechoslovakia,Republic of Slovakia,first_mention,16XX,Jews are mentioned in the 17th cent.,[],[],
1548,GALANTA,Slovakia,Czechoslovakia,Republic of Slovakia,jews_arrived,16EX,Jews settled under the protection of Count Esterhazy at the turn of the 17th cent.,[],[],
1549,GALATI,Moldavia,Rumania,,jews_arrived,15LX,Jews first settled in the late 16th cent.,[],[],
1550,GALGAU,N. Transylvania,Rumania,,jews_arrived,18EX,Jews settled in the early 19th cent.,"[{'lang': 'hun', 'name': 'Galgo'}]",[],
1551,GAMBACH,Hesse,Germany,,community_founded,1705,The modern community dates from 1705,[],[],
1552,GANDERSHEIM,Brunswick,Germany,,community_founded,1785,"Established by 1785, the community grew",[],"[{'event': 'Medieval community', 'year': '1252–1447', 'impact': 'Jews lived there; community disappeared', 'source': 'Jews lived there in medieval times (1252-1447) but eventually disappeared'}]",
1553,GANGELT,Rhineland,Germany,,POP,1871,"Jews numbered 63 (total 2,495) in 1871",[],[],
1554,GANICE,Carpatho-Russia,Czechoslovakia,Ukraine,jews_arrived,17LX,J. settlement probably began in the late 18th cent.,"[{'lang': 'hun', 'name': 'Ganya'}]",[],
1555,GARBATKA,Kielce,Poland,,POP,1921,"The J. pop. was 111 (total 1,739) in 1921",[],[],
1556,GARDELEGEN,Saxony,Germany,,jews_present,1344,Jews were living in G. already in 1344,[],"[{'event': 'Expulsion after Host Desecration trial', 'year': '1510', 'impact': 'expulsions took place', 'source': 'Expulsions took place in 1510 after the Host Desecration trial in Berlin'}]",
1557,GARGZDAI,Kretinga,Lithuania,,jews_arrived,14XX,Jews first settled in the 15th cent.,"[{'lang': 'yid', 'name': 'Gorzd'}]","[{'event': 'Royal privilege', 'year': '1639', 'impact': 'letter of privileges granted', 'source': 'In 1639, King Wladyslaw IV granted Jews a letter of privileges'}, {'event': 'Privilege reconfirmed', 'year': '1742', 'impact': 'privileges reconfirmed', 'source': 'reconfirmed by King Augustus III in 1742'}]",
1558,GARLELE-GAZARIEI,Moldavia,Rumania,,jews_present,18EX,In the early 19th cent. Jews provided supplies... at the J.-owned oil refineries,[],[],
1559,GARLIAVA,Kaunas,Lithuania,,jews_arrived,18EX,Jews were among the town's first settlers at the beginning of the 19th cent.,"[{'lang': 'yid', 'name': 'Gudleve'}]",[],
1560,GARTZ AN DER ODER,Pomerania,Germany,,first_mention,1481,Jews are first mentioned in G. in 1481,[],"[{'event': 'Modern settlement', 'year': 'after 1812', 'impact': 'modern J. settlement started', 'source': 'modern J. settlement started only after 1812'}]",
1561,GARWOLIN,Lublin,Poland,,community_present,16XX,A J. community existed by the 17th cent.,[],[],
1562,GARZWEILER,Rhineland,Germany,,first_mention,1703,Jews are first mentioned in 1703,[],[],
1563,GASPRA,Crimea,Russia,Ukraine,jews_present,1903,Jews were only granted formal residence rights in 1903,[],[],
1564,GAU-ALGESHEIM,Hesse,Germany,,community_founded,16LX,community was reestablished 350 years later,[],"[{'event': 'Black Death persecutions', 'year': '1348–1349', 'impact': 'community annihilated', 'source': 'Annihilated in the Black Death persecutions of 1348-49'}]",
1565,GAU-ODERNHEIM,Hesse,Germany,,community_founded,13XX,Established by protected Jews (Schutzjuden) in the 14th cent.,[],[],
1566,GAUKOENIGSHOFEN,Lower Franconia,Germany,,community_founded,17EX,settlers formed a community with their own rabbi in the early 18th cent.,[],[],
1567,GAVA,Szabolcs,Hungary,,first_mention,1770,Jews are mentioned in 1770,[],[],
1568,GAYCHUR,Zaporozhe,Ukraine,,jews_arrived,18LX,A number of Jews settled after the coming of the railroad... in the late 1890s,"[{'lang': 'rus', 'name': 'Ternovatoye'}]",[],
1569,GAYSIN,Vinnitsa,Ukraine,,POP,1765,Jews numbered 62 in 1765,"[{'lang': 'yid', 'name': 'Haysin'}]","[{'event': 'Russian civil war pogroms', 'year': '1918–1921', 'impact': 'attacked four times', 'source': 'In the Russian civil war (1918-21), the Jews were attacked four times'}, {'event': 'Pogrom', 'year': '12 May 1919', 'impact': '390 murdered', 'source': 'on 12 May 1919, 390 were...'}]",
1570,GBELY,Slovakia,Czechoslovakia,Republic of Slovakia,community_present,1869,The J. community numbered 183 in 1869,[],[],
1571,GDANSK,Pomerania,Poland,,jews_present,14MX,J. merchants were active in the city from the mid-15th cent.,"[{'lang': 'ger', 'name': 'Danzig'}]","[{'event': 'Teutonic Order ban', 'year': '', 'impact': 'trade without permanent residence', 'source': 'despite the ban imposed by the Teutonic Order. They continued to trade without permanent resi'}]",
1572,GDOV,Leningrad,Russia,,jews_arrived,18MX,Jews probably settled in the mid-19th cent.,[],[],
1573,GDOW,Cracow,Poland,,POP,1880,The J. pop. numbered 376 in 1880,[],"[{'event': 'Pogroms', 'year': '1918–1919', 'impact': 'Jews beaten and property pillaged', 'source': 'local peasants and demobilized soldiers went on a rampage, beating Jews and pillaging their prop'}]",
1574,GDYNIA,Pomerania,Poland,,jews_present,1921,A few dozen Jews were living in G. in 1921,[],[],
1575,GEBE,Szatmar,Hungary,,jews_arrived,18EX,Jews settled in the first half of the 19th cent.,[],[],
1576,GEDERN,Hesse,Germany,,community_founded,16LX,Established before 1700,[],[],
1577,GEERTRUIDENBERG,Noord-Brabant,Holland,,community_founded,1810,A community was organized around 1810,[],[],
1578,GEGENY,Szabolcs,Hungary,,first_mention,1770,Jews are first mentioned in 1770,[],"[{'event': 'White Terror', 'year': '1919–1921', 'impact': 'premises of the Goldstein trading firm were burned', 'source': 'premises ... were burned in the post-WWI White Terror'}]",
1579,GEHAUS,Thuringia,Germany,,jews_arrived,17EX,Jews settled in G. in the early 18th cent.,[],[],
1580,GEILENKIRCHEN,Rhineland,Germany,,first_mention,17MX,Five J. families are known from the mid-18th cent.,[],[],
1581,GEINSHEIM,Palatinate,Germany,,POP,18EX,The J. pop. was 31 in the early 19th cent.,[],[],
1582,GEISIG,Hesse-Nassau,Germany,,POP,1871,Numbering 24 (7% of the total) in 1871,[],[],
1583,GEISTINGEN,Rhineland,Germany,,jews_present,1791,Three J. livestock dealers and their families were living in G. in 1791,[],[],
1584,GELDERN,Rhineland,Germany,,first_mention,1096,"In 1096, during the First Crusade, the Jews were forcibly converted",[],"[{'event': 'First Crusade persecutions', 'year': '1096', 'impact': 'forcible conversions', 'source': 'the Jews were forcibly converted'}]",
1585,GELNHAUSEN,Hesse-Nassau,Germany,,jews_present,1242,Jews lived there in 1242,[],"[{'event': 'Black Death persecutions', 'year': '1348–1349', 'impact': 'Jews were massacred', 'source': 'During the Black Death persecutions of 1348-49 they were massacred'}]",
