line_id,code,prov,dist,name,ziv_yearcode,year_code,upper_bound,lower,mid_range,source,note,cen,approx_code
377,GLC_LWW_DRHB,Galicia,Drohobycz,Drohobycz,,1404,1404,1404,1404,"Jews are first mentionedin 1404 and earned their livelihoods from the salt mine concession as well as from tax farming and distilling. Under local pressure, they were expelled in 1578, returning only in 163",,1400,
378,VLN_DSN_DR,Vilna,Disna,Druia,15LX,15LX,1600,1575,1575,"Jews settled in the late 16th cent. and numbered 1,306 in 1766. In the late 18th cent. the community built one of the mostbeautiful synagogues in Lithuania. The community also had two battei midrash, a talmud","בונד, החלוץ",1500,LX
379,KVN_NVL_DRSK,Kovno,Novoaleksandrovsk,Druisk,1870,1870,1870,1870,1870,"Jews arrived as the village's first settlers in the 1870s,receiving land for cultivation. In 1897 their number reached 515. In the 1930s, Jews were operating 44 farms on 850 acres of land and the cheese produ",יהודים הקימו את הכפר,1800,
380,GRD_GRD_DRSK,Grodno,Grodno,Druskeniki,18MX,18MX,1875,1850,1850,"J. settlement probably commenced in the mid-19th cent. With D.'s development as a health resort, a J. hospital was built serving numerous J. communities in the area.In 1887 the second congress of",,1800,MX
381,VLH_VLD_DRZH,Volhynia,Vladimir-Volynskii,Druzhkopol,16MX,16LX,1700,1675,1675,"J. settlement began in the second half of the 17th cent. The town's border location after the Second Partition of Poland (1793), with its customs house and Russian army barracks, stimulated the econom",,1600,LX
382,EKT_BKH_DRZH,Ekaterinoslav,Bakhmut,Druzhkovka,18LX,1939,1939,1939,1939,"The J.pop. in 1939 was 433 (total 31,781). The Germans captured the city on 22 Oct. 1941. Probably in April 1942, 135 J. families were murderedthe children poisoned and the adults electro",,1900,
383,RDM_OPC_DRZW,Radom,Opoczno,Drzewica,,18LX,1900,1875,1875,"At the end of the 19th cent., German Jews were involved in the sale of the products of the Gerlach metal factory founded here. The majority of the community were Gur Hasidim, who dominated the community council. In 1939,",,1800,LX
384,VLH_VLD_DBCH,Volhynia,Vladimir-Volynskii,Dubechno,18LX,19XX,1940,1900,1920,The J. pop. of 20 families was probably liquidated after transfer to the Ratno ghetto.,,1900,XX
385,GLC_LWW_DBCK,Galicia,Brzozow,Dubiecko,,1622,1622,1622,1622,"Jews are recorded from 1622 and from the early 18th cent. constituted a growing community, reaching a peak pop. of nearly 977 (over half the total) in 1900, with most trade in J. hands. Emigration, WWI, and",,1600,
386,LBL_GRB_DBNK,Lublin,Hrubieszow,Dubienka,,15LX,1600,1575,1575,"A J. settlement existed by the late 16th cent. In the 18th cent., Jews were prominent in the grain trade along the Bug River as wellas in running numerous inns and distilleries.Their pop. rose to 1,427 in 1861 and2,343",,1500,LX
387,VLN_VLN_DBNK,Vilna,Vilnius,Dubinki,18EX,18XX,1900,1800,1850,"A J. community was established here in the 19th cent., but many emigrated due to the economic situation. The J. pop. in 1897 was 280; in 1940, 80. After Germany's invasion in June 1941,Lithuanian nat",,1800,XX
388,KVN_NVL_DBNV,Kovno,Novoaleksandrovsk,Dubinovo,1848,1848,1848,1848,1848,"D. was a J. agricultural colony founded in 1848 on 1,350 acres of land distributed by Czar Nicholas I. Jews grew cereal crops, peas, and potatoes, owned some livestock, and supplemented their incomes with",מושבה חקלאית יהודית,1800,
389,VLH_DBN_DBN,Volhynia,Dubno,Dubno,15EX,15EX,1550,1500,1525,"Jews began to settle in the early 16th cent. and numbered around 2,000 at the time of the Chmielnicki massacres of 1648-49. Between 1,100 and 1,500 were murdered by the Cossacks in 1648 after being denied ref",חובבי ציון,1500,EX
390,KHR_TRS_DBSS,Kherson,Tiraspol,Dubossary,17LX,17LX,1800,1775,1775,"DUBOSSARY Moldavia, today Republic of Moldova. J. settlement commenced in the late 18th cent. In 1882, two Jews werekilled and six injured in antisemitic disturbances. A blood libel in 1903 nearly led to another pogrom and Jews were also persecuted i",,1700,LX
391,KIV_UMN_DBV,Kiev,Uman,Dubovo,1897,1897,1897,1897,1897,"Jews numbered 1,104 in 1897. On 17 June 1919, the Sokolowski gangs attacked and murdered Jews and looted homes and stores. In 1926, under the Soviets, only 57 Jews remained. Those there when the Germans occupied the town in",,1800,
392,MGL_GRK_DBRV,Mogilev,Gorki,Dubrovny,17EX,17EX,1750,1700,1725,"Jews settled in the early 18th cent. In 1766, the J. pop. of D. and its environs was 801 and in 1897 the J. pop. came to 4,364 (total 7,974). A J. printing press was started in 1802. Most Jews engaged in trade and",,1700,EX
393,VLN_LDA_DBRV,Vilna,Lida,Dubrovo,1848,1848,1848,1848,1848,D. was foundedas a J. agricultural colony in 1848 and numbered 25 families between the World Wars. All were expelled by the Germans to Rozhanka in June 1941 and from there to the Szczuczyn ghetto in Oc,מושבה חקלאית יהודית,1800,
394,SML_DKH_DKHV,Smolensk,Dukhovshchina,Dukhovshchina,18MX,18MX,1875,1850,1850,"Jews probably settled in the mid-19th cent. Their pop. was 195 (total 2,906) in 1926 and 102 in 1939. The Germans arrived on 15 July 1941 and in summer 1942 murdered the few remaining Jews who had not fled or bee",,1800,MX
395,GLC_LWW_DKL,Galicia,Krosno,Dukla,,15XX,1600,1500,1550,"The permanent J. settlement dates from the 16th cent. and came to be one of the largest and most important of the region and a respected member of the Council of Lesser Poland, boasting a long line of illustrious rabbis. Wit",,1500,XX
396,MNS_IGM_DKR,Minsk,Igumen,Dukora,17EX,17EX,1750,1700,1725,"Jews probably settled in the first half of the 18th cent. Their pop. was 462 in 1766, falling to 67 in 1811 and rising again to 604 (total 1,358) in 1897. In 1923, under the Soviets, the J. pop. was 501. A number of fa",,1700,EX
397,KVN_NVL_DKSH,Kovno,Novoaleksandrovsk,Dukshty,1863,1863,1863,1863,1863,Jews began arriving after the laying of the Petersburg-Warsaw railroad line in 1863 and numbered about 600 in 1897. J. lumber merchants set up sawmills and woodworking factories to produce railroad ties and,,1800,
398,BSS_SRK_DMBR,Bessarabia,Soroki,Dombroveny,1836,1836,1836,1836,1836,This settlement was founded in 1836by Jews who engagedin agriculture. A community school was opened in 1900 by the ICA. The economic situation of the Jews declined after WWI. Zionist activ,מושבה חקלאית יהודית,1800,
399,GLC_TRN_DNJW,Galicia,Przemyslany,Dunajów,,16XX,1700,1600,1650,"Though Jews were present from the 17th cent. the community never developed greatly, reaching 338 members in 1900 (total 2,350) and dropping to 95 after the destruction of the town in WWI. In Jan. 1942, t",,1600,XX
400,CRL_VND_DNDG,Courland,Vindava,Dundaga,1935,1935,1935,1935,1935,J.pop. (1935) 15 (total 361). The Jews weremurderedin the secondhalf of 1941 under the German occupation.,,1900,
401,VLN_VLK_DNLV,Vilna,Vileika,Dunilovichi,18EX,18EX,1850,1800,1825,"A J. community is known from the early 19th cent., growing to 1,553 in 1897 (total 1,810) and living in straitened economic circumstances. With the renewal of commerce after WWI, when the J. pop. dropped t","החלוץ הצעיר, השומר הצעיר",1800,EX
402,CRL_GRB_DRB,Courland,Grobin,Durbe,1935,1920,1920,1920,1920,"DURBE Courland dist., Latvia The J. pop. in 1935 was 8 (total 525), down from 30 in 1920. The Jews were murdered by the end of 1941 under the German occupation.",,1900,
403,KVN_NVL_DSTY,Kovno,Novoaleksandrovsk,Dusiaty,15EX,15XX,1600,1500,1550,"The J. community began in the 16th cent. and constituted the majority of the total until the Holocaust. The J. pop. in 1897 was 1,158 (91% of the total). A fire broke out onEasterDay 1905",,1500,XX
404,GRD_SLN_DVRT,Grodno,Slonim,Dvorets,1566,1566,1566,1566,1566,"Jews are first mentioned in 1566. The community's main growth occurred in the late 19th cent., reaching a pop. of 868 (total 1,366) in 1897 and then declining to 388 in 1921 under conditions of economi",,1500,
405,GLC_LWW_DYNW,Galicia,Brzozow,Dynów,,1552,1552,1552,1552,"Jews are first noted in 1552. The court of the D. hasidic dynasty founded by R. Tzevi Elimelekh Shapira (after 1825) propped up the traditional J. economy, while a few wealthy merchants dealt in grain and lumber. A great cir",,1500,
406,MNS_MNS_KDNV,Minsk,Minsk,Koidanovo,1765,1765,1765,1765,1765,"A J. community of 560 poll tax payers was already present in 1765. Its pop. grew to 3,156 (total 4,744) in 1897. RetreatingPolish soldiers stagedapogrom on 10-12 July 1920, extensively d",,1700,
407,EKT_BKH_SHCH,Ekaterinoslav,Bakhmut,Shcherbinovka,18LX,19EX,1939,1900,1925,"J. settlement began in the early 20th cent. In 1939, the J. pop. was 278 (total 31,750). The Jews who had neither fled nor been evacuated,perished under the German occupation initiat",,1900,EX
408,TRD_PRK_DZHN,Taurida,Perekop,Dzhankoi,18EX,18XX,1900,1800,1850,"Jews settled in the 19th cent., numbering 109 (total957) in 1897. In 1924, under the Soviets, the region was designated for J. agricultural settlement with D. as its center. In 1939, the J. pop. of the town rea",מושבה חקלאית יהודית,1800,XX
409,KLS_VLN_DZLS,Kalisz,Wielun,Działoszyn,,16EX,1650,1600,1625,"Jews first settled early in the 17th cent. and by the 18th cent. D. was the largest J. community in the Wielun district (846 Jews in 1793). In the 19th cent., Jews were involved in textile trading betwee",,1600,EX
410,KLC_PNC_DZLS,Kielce,Pinczow,Działoszyce,,13XX,1400,1300,1350,"Jews were probably presentin the 14thcent.andconstitutedamajority by the mid-18th cent., making D. a center of trade and crafts for the large peasant pop. in the area. J. prosperity was reflectedin the constructionof",,1300,XX
411,GLC_LWW_DZKW,Galicia,Cieszanow,Dzików Stary,,18XX,1900,1800,1850,"The J. community grew to about 500 in the 19th cent. around the hasidic court connected with the Ropczyce (Ropshits) dynasty. With its decline,between the World Wars, the J. pop. fell to 360 (total 2,31",,1800,XX
412,VLN_DSN_DSN,Vilna,Disna,Disna,15EX,17LX,1800,1775,1775,"Jews are assumed to have arrived from Western Europe in the 16th cent. A J. settlement is known from the later 18th cent., reaching a pop. of 412 in 1797, many of whom engaged in the wholesale trade (flax, lum","ציונים, בונד",1700,LX
413,KIV_BRD_DZNK,Kiev,Berdichev,Dziunkov,1765,1765,1765,1765,1765,"The J. pop. was 137 in 1765 and 1,137 (total 4,314) in 1897, dropping againto 365 in 1926.TheGermans capturedD. in late July 1941andmurderedtheJewsinAktions occurring in late Oct. 1941 and during 1942.",,1700,
414,POD_LMP_DZHR,Podolia,Lampol,Dzhurin,17EX,1765,1765,1765,1765,"Jews numbered 84 in 1765 and 1,585 (total 4,656) in 1897. Anton Denikin's White Army troops attacked the Jews of D. inDec. 1919. A J.council (soviet) andJ. elementary school were set up in the Soviet period. In 1924, a",,1700,
415,GLC_STN_DZRK,Galicia,Kolomyja,Dżurków,,1921,1921,1921,1921,The J. pop. in 1921 was 100. The Jews were probably murdered locally or expelled to Kolomyja for liquidation in April 1942.,,1900,
416,GLC_LWW_DZWN,Galicia,Bobrka,Dźwinogród,,1921,1921,1921,1921,The J. pop. in 1921 was 116. The Jews were probably expelledto Bobrka for liquidation in the second half of 1942.,,1900,
417,POD_LMP_DZYG,Podolia,Lampol,Dzygovka,17EX,1765,1765,1765,1765,"Jews numbered 17 in 1765 and 2,187 (total 7,194) in 1897. The majority of stores were in J.hands and most artisans in D. were Jews. In early Dec. 1917, the Jews were attacked in a pogrom. During the Soviet period, man",,1700,
418,BSS_KHT_EDNT,Bessarabia,Khotin,Edintsy,1820,1820,1820,1820,1820,"The first settlers in E. were Jews (in 1820). By 1878 there were eight prayer houses. An attempted pogrom in 1887 was thwarted. The J. pop. in 1897 was 7,379 (72% of the total).",יהודים הקימו את העיירה,1800,
419,CRL_ILL_ILVK,Courland,Illukst,Ialovka,1935,1935,1935,1935,1935,The J. pop. in 1935 was 25 (total 511). The Jews were murdered by the Germans shortly after their occupation of late June-early July 1941.,,1900,
420,VLN_LDA_ESHS,Vilna,Lida,Eishishki,11LX,11XX,1200,1100,1150,"Karaite Jewsprobably settledin the 12thcent.with Rabbanite Jews following in the 13th cent. The J. pop. grew from 661 in 1847 to 2,376 (total 3,196) in 1897, with J. livelihoods centered around market da",תנועה ציונית פעילה,1100,XX
421,PRU_WST_ELBN,Preussen,Elblag,Elbing,,1783,1783,1783,1783,"Germany, today Poland. The E. community was one of the oldest J. communities of East Prussia, the first Jew being allowed to settle there in 1783. The J. pop. grew to 33 families in 1812 and549 individuals in 1880,d",,1700,
422,SML_ELN_ILN,Smolensk,Elnia,Ielnia,18MX,18LX,1900,1875,1875,"Jews probably settled in the late 19th cent. and numbered 107 in 1897, their pop. rising sharply at the outset of the Soviet period to 567 (total4,458) in 1926 and then dropping to 289 in 1939. The Germans, after their a",,1800,LX
423,VLH_NVG_EMLC,Volhynia,Novograd-Volynskii,Emilchik,18EX,18EX,1850,1800,1825,"Jews settled in the early 19th cent. and numbered 1,049 (total 2,477) in 1897. On the eve of Passover 1919 the Petlyura gangs went on a rampage of murder, rape, and robbery that left ten Jews dead. In 1939, the J. p",,1800,EX
424,KVN_RSS_ERZH,Kovno,Rossieny,Erzhvilki,18EX,18EX,1850,1800,1825,"J. settlement started here early in the 19th cent. Zionist activity began with Hovevei Zion. Prof. Hermann Schapira (1840-98), father of the concepts of the J. National Fund and the Hebrew Universi",,1800,EX
425,PRU_OST_EYDT,Preussen,Stolupiany,Eydtkuhnen,,1870,1870,1870,1870,"Germany, today Russia. The J. community numbered 347 in 1880. It maintained a synagogue built in 1870 and a cemetery. Since E. was one of the main border crossing points through which the masses of East",,1800,
426,WRS_WRS_FLNC,Warszawa,Minsk Mazowiecki,Falenica,,1900,1900,1900,1900,"Jews arrived there in the 1880s, founded a community around 1900,andas theresorttown expandedtheir number grew to 1,108 (63% of the total) in 1921. Avraham Moshe Kalish of Warka established a hasidic cou",,1900,
427,BSS_BLT_FLSH,Bessarabia,Bieltsy,Foleshty,17LX,16LX,1700,1675,1675,"Jews first settled in the late 18th cent. In 1918 they were granted land for agriculture. The J. pop. in 1930 was 3,258 (51% of the total). The community had seven synagogues and the Great Synag",,1600,LX
428,PRU_PMM_FLKN,Preussen,Pommern,Falkenburg,,1720,1720,1720,1720,"A Jew was present in 1720 but a community only developed in the 19th cent., consecrating a synagogue in 1841. There were 121members in 1880. In 1881, riots in Pomerania, sparked by an ars",,1700,
429,KIV_VSL_FSTV,Kiev,Vasilkov,Fastov,1765,1765,1765,1765,1765,"The J. pop. was 381 in 1765 and 5,595 in 1897. In the late 18th cent., J. property was pillaged and destroyed in Haidamak attacks. In the 19th cent., many Jews engaged in crafts and in farming. Three J. agricultural coloni",,1700,
430,POD_PRS_FLSH,Podolia,Proskurov,Felshtin,16EX,16XX,1700,1600,1650,"Jews settled in the 17th cent., numbering 134 in 1765 and 1,885 (total 2,002) in 1897. In a pogrom on 16 Feb. 1919, during the civil war, 485 Jews were killed. A J. council (soviet)",,1600,XX
431,GLC_LWW_FLSZ,Galicia,Stare Miasto,Felsztyn,,16EX,1650,1600,1625,"Jews werepresent from the early 17th cent.Their number grew to 690 (around50% of the total) in 1900,with economic conditions deteriorating between the World Wars in the face of Polish competition. After a U",,1600,EX
432,SWL_SVL_FLPV,Suwalki,Suvalki,Filipovo,17EX,17XX,1800,1700,1750,"Jews settled in the 18th cent.,reaching a pop. of 856 (total 2,457) in 1857. A synagogue and cemetery were consecrated in the mid-19th cent. The J. pop. dropped to 280 in 1921. All Jews were expelledby the Germans aro",,1700,XX
433,LBL_LBR_FRLJ,Lublin,Lubartow,Firlej,,15XX,1600,1500,1550,"Jews were among the town's first residentsin the 16thcent.andweregranted a privilege of unlimited residence in 1664. However, until the 19th cent. the community did not grow. In 1921, the J. pop. was 180 (total 1,150). Wh",,1500,XX
434,PRU_WST_FLTW,Preussen,Zlotow,Flatow,,1564,1564,1564,1564,"Germany, today Poland. Jews are first mentioned in 1564. During the Swedish invasion (1655-57), the Poles executed a number of Jews on trumped-up charges of collaboration with the enemy. Many of the 107 Jews l",,1500,
435,PRU_PSN_FRDN,Preussen,Bydgoszcz,Fordon,,15EX,1550,1500,1525,"The first Jews settled in the early 16th cent., joined in 1555 by Jews expelled from Bydgoszcz. By 1772, when F. was annexed to Prussia, 590 Jews were there, with the community reaching a peak pop. of 1,475 (total 2,005)",,1500,EX
436,POD_KMN_FRMP,Podolia,Kamenets-Podolsk,Frampol,,16EX,1650,1600,1625,Cossack incursions in the 1650s destroyed a small early 17th cent J. settlement. Jews were againpresent in the 18th cent. and in the 19th cent. operated textile and hide-processing plants while others supplied the local,,1600,EX
437,PRU_PSN_FRST,Preussen,Wschowa,Fraustadt,,15LX,1600,1575,1575,"Germany, today Poland. At the end of the 16th cent., there was a J. community whose members lived in a designated section of the Old Town. They were only allowed to engage in pawnbroking and financial tran",,1500,LX
438,TRD_EVP_FRDR,Taurida,Evpatoriia,Fraidorf,1926,1926,1926,1926,1926,"F. was founded in 1926 as a J. agricultural settlement on an abandoned German estate. The J. pop. was 250 families in 1932, dropping to 450 Jews (total 1,085) in 1939. Most Jews",מושבה חקלאית יהודית,1900,
439,PRU_PMM_FRNW,Preussen,Pommern,Freienwalde,,1705,1705,1705,1705,"There was a Jew living in F. in 1705, and in 1728 there were three J. families. The community numbered 60 members in 1880 and maintained a synagogue and a cemetery. When the Nazis cameto po",,1700,
440,PRU_WST_FRYS,Preussen,Susz,Freystadt,,16XX,1700,1600,1650,"Germany, today Poland. The consecrationof a J. cemetery in the 17th cent. indicates the presence of a community. The J.pop. was 77 in 1831and268 in 1880.In thelate 19th cent. a synagogue anda secondcemeterywere",,1600,XX
441,PRU_OST_FRDL,Preussen,Frydlad,Friedland,,1880,1880,1880,1880,"Germany, today Russia. The J. pop. was 51 in 1880 and 37 in 1905. The community maintained a synagogue and a cemetery. No information is available about the fateof the 33 Jews who still lived in the town when",,1800,
442,KHR_TRS_ZKHR,Kherson,Tiraspol,Zakharevka,18LX,1897,1897,1897,1897,"The J. pop. in 1897 was 1,732 (total 3,574), many engaged in agriculture. A J. colony was foundednearby in 1923 under the Soviets andin 1927 included 25 families from Rashkov and a few from F.",,1800,
443,GLC_LWW_FRYS,Galicia,Jaslo,Frysztak,,16MX,1675,1650,1650,"The organized J community dates from the mid-17th cent. and constituted a majority of the pop. from the outset. All trade and crafts werein J. hands as wellas the town's single industrial facility, a steam-operated sawmil",,1600,MX
444,LMZ_LMZ_GTSS,Lomza,Lomzha,Gats-Sokolia צ Lonka,18EX,18EX,1850,1800,1825,"Dating from the early 19thcent.,thecommunity numbered226 in 1921(50% of the total). Expelled in 1939, the Jews suffered the common fate of the Jews in the region.",,1800,EX
445,POD_GSN_GVRN,Podolia,Gaisin,Gaivoron,18LX,1939,1939,1939,1939,"The J. pop. in 1939 was 841 (total 9,256). The Germans captured G. on 29 July 1941andon 16-18 Feb 1942,they killed 211 people. Most were probably Jews.",,1900,
446,RDM_KZN_GRBT,Radom,Kozienice,Garbatka,,1921,1921,1921,1921,"The J. pop. was 111(total 1,739)in 1921.After theGermanoccupation of Sept. 1939, a few hundred refugees arrived. The young were sent to the Pionki labor camp and 100 Jews were murdered outside the village in July 1942.",,1900,
447,KVN_TLS_GRZH,Kovno,Telshi,Gorzhdy,17LX,14XX,1500,1400,1450,"Jews first settledin the 15th cent. In 1639,King Wladyslaw IV granted Jews a letter of privileges, later reconfirmedby King AugustusIII in 1742.The J.pop. in 1897 was 1,455 (59% of the total). Most Jew",,1400,XX
448,SWL_MRM_GDLV,Suwalki,Mariampol,Godlevo,18EX,18EX,1850,1800,1825,"Jews wereamongthe town's first settlersat thebeginning of the 19th cent. The J. pop. in 1897 was 469 (49% of the total). By wwil the J. pop. was about 70 families. After the German invasion of 1941, t",יהודים היו בין מקימי העיירה,1800,EX
449,PRU_PMM_GRTZ,Preussen,Pommern,Gartz,,1481,1481,1481,1481,"GARTZ AN DER ODER Pomerania, Germany Jews are first mentioned in G. in 1481, but modern J. settlement startedonly after 1812,growing to 114individuals in 1861. The community maintained a synagogue (consecrated in 1862) and a cemetery. When the Nazis",,1400,
450,SDL_GRV_GRWL,Siedlce,Garwolin,Garwolin,,16XX,1700,1600,1650,"A J. community existed by the 17th cent., expanding significantly in the 19th cent and reaching a pop. of 2,182 (total 4,591) in 1897, with J. tradesmenprospering from the lively trade on the weekly market day and at th",,1600,XX
451,POD_GSN_GSN,Podolia,Gaisin,Gaisin,17EX,1765,1765,1765,1765,"Jews numbered62 in 1765 and 4,321 (total9,374) in 1897. In the Russian civil war (1918-21), the Jews were attackedfour times andon 12 May 1919, 390 weremurdered. In the Soviet period, a J. law court, elem",,1700,
452,PRU_WST_DNZG,Preussen,Gdansk,Danzig,,14MX,1475,1450,1450,"J. merchants were active in the city from the mid-15th cent. despite the ban imposed by the Teutonic Order. They continued to trade without permanent residence rights under Polish rule, exporting grain an",,1400,MX
453,SNP_GDV_GDV,Sankt-Peterburg,Gdov,Gdov,18MX,18MX,1875,1850,1850,"Jews probably settled in the mid-19th cent. Their pop. was 69 (total 2,106) in 1897. In the Soviet period, their pop. stood at 86 in 1926 and 36 in 1939. Those Jews who had not fled or been evacuated were murdered after",,1800,MX
454,GLC_CRC_GDW,Galicia,Wieliczka,Gdów,,1880,1880,1880,1880,"The J. pop. numbered 376in 1880 and245 (total1,753)in 1921.In 1918 and 1919, local peasants and demobilized soldiers went on a rampage, beating Jews and pillaging their property. The Germans established a Judenrat at the en",,1800,
455,PRU_WST_GDNG,Preussen,Wejherowo,Gdingen,,1921,1921,1921,1921,"A few dozen Jews wereliving in G. in 1921.Many arrived from former CongressPoland andGalicia in the late 1920s, attractedby the thriving port andgeneraldevelopment of the city. In themid-1930s the community was the la",,1900,
456,VLN_VLN_GLVN,Vilna,Vilnius,Gelvani,16EX,16XX,1700,1600,1650,Jews began settling here in the 17th cent. The J. pop. in 1914 was about 90 families (90% of the total). Before WWI the community prospered and the Jews had close trade connections with Vilna. After wW,תנועה ציונית פעילה,1600,XX
457,TRD_MLT_GNCH,Taurida,Melitopol,Genichesk,18EX,1897,1897,1897,1897,"In 1897, the J.pop. was2,816(total 8,061).In fall 1905,a three-day pogrom was stagedagainstthe Jews.Under theSoviets in the 1920s, an active community was clandestinely maintained, with ritual slaughter, a cantor, a",,1800,
458,KIV_KIV_GRMN,Kiev,Kiev,Germanovka,1775,1775,1775,1775,1775,"Jews numbered ten in 1775 and 1,049 (total 3,628) in 1897. A talmud torah was opened in 1909. On 29 Aug. and 28 Sept. 1919, the Jews were attacked in riots. In 1926, under the Soviets, they numbered 62. Most were murde",,1700,
459,PTR_NVR_GDL,Piotrkow,Noworadomsk,Gidle,,1921,1921,1921,1921,"Jews were involved in agriculture and services to Christian pilgrims. R. Herschel of Gidle lived here, and Hasidim visited the sage's tomb in Plawno. The J. pop. in 1921 was 192. On 6 Oct. 1942, the 600 Jews of Gidl",,1900,
460,VLN_VLN_GDRT,Vilna,Vilnius,Gedroitsy,18EX,18EX,1850,1800,1825,"The J. community dates to the beginning of the 19th cent. Between the World Wars, its adults and youth were involved in Zionist activities. The J. pop. in 1939 was 200 (36% of the total). Under",תנועה ציונית פעילה,1800,EX
461,RDM_OPC_GLNW,Radom,Opoczno,Gielniów,,1857,1857,1857,1857,"The J.pop. in 1857 was 124. During WWII the community increased to 250, all of whom were deported to the Treblinka death camp on 24 Oct. 1942.",,1800,
462,PRU_OST_GLGN,Preussen,Ostroda,Gilgenburg,,1880,1880,1880,1880,"Germany, today Poland. The J. community numbered 119 Jews in 1880, but gradually declined in the first decades of the 20th cent. to about 52 in 1925.It maintained a synagogue and a cemetery. When the Nazis ass",,1800,
463,KVN_RSS_GRTK,Kovno,Rossieny,Girtakol,18MX,1897,1897,1897,1897,"The J. pop. was 530 in 1897 (82% of the total) and 27 families in 1939. After Germany's invasion in June 1941, Lithuanian nationalists trampled anddancedon the community's Torah scrolls and serio",,1800,
464,GLC_TRN_GLNN,Galicia,Przemyslany,Gliniany,,1474,1474,1474,1474,Jews are first noted from 1474 as leaseholders. A number of Jews were killed in the Chmielnicki massacres of 1648-49. At the beginning of the 18th cent. afortresslike synagogue was built to,,1400,
465,VLH_RVN_GLNK,Volhynia,Rovno,Glinki,1474,1921,1921,1921,1921,"The J. pop. in 1921 was 317 (total 1,134). It was probably liquidated by the Germans after transfer to the Rowne ghetto.",תנועה ציונית פעילה,1900,
466,GLC_LWW_GLNS,Galicia,Zolkiew,Glińsko,,1921,1921,1921,1921,"The J. pop. in 1921 was 124. The Jews were possibly deported to theBelzec deathcampin Nov. 1942, via Zolkiew or directly.",,1900,
467,GLC_LWW_GLGW,Galicia,Rzeszow,Głogów,,16LX,1700,1675,1675,"Jewsapparently settled in the late 17th cent., reaching a pop. of 1,201 (total 2,831) in 1880 but declining to 648 in 1921 in the wake of emigration and the rigors of WWI, including attacks against Jews in 1918 and 1919. Des",,1600,LX
468,RDM_KZN_GLWC,Radom,Kozienice,Głowaczów,,15MX,1575,1550,1550,"Jews settled in themid-16th cent.,becominga majority with a pop. of 1,109 in 1897 and 1,411 in 1921. After three years of German occupation in WWII, they were expelled to the Kozienice ghettoin Sept. 1942 andfrom there",,1500,MX
469,PTR_BRZ_GLWN,Piotrkow,Brzeziny,Głowno,,17LX,1800,1775,1775,"From the second half of the 18th cent., Jews constituted a majority of the inhabitants(61% in 1793-94,59% in 1921).In 1848 they suffered from a cholera epidemic, and a fire destroyed communitybuildings. Six representativesof",,1700,LX
470,CRN_GLK_GLKH,Chernigov,Glukhov,Glukhov,1720,1720,1720,1720,1720,"Jews are mentioned in the 1720s. In 1897, the J. pop. was 3,853 (26% of the total). On 7 March 1918, Red Army soldiers killed over 100 Jews in a pogrom. Between the World Wars, the J. pop. dropped to 1,501. The Germans ca",,1700,
471,LBL_LBR_GLSK,Lublin,Lublin,Głusk,,18EX,1850,1800,1825,"The J. community numbered around 400 (about half the total) from the early 19th cent. until the the outbreak of WWII, when refugees increased the J. pop. to 710. Most were deported by the Germans to the Sobibor death camp",,1800,EX
472,MNS_BBR_GLSK,Minsk,Bobruisk,Glusk,18EX,16XX,1700,1600,1650,"Jews are first mentioned in the 17th cent. and reached a pop. of 1,405 in 1819 and 3,801 (total5,328) in 1897. A Russian-language J. public school was in operation in the early 20th cent.In early July 1920, Jews were",,1600,XX
473,RDM_KZN_GNWS,Radom,Kozienice,Gniewoszów,,17LX,1800,1775,1775,"Jews settled in the late 18th cent., growing to a pop. of 1,083 (total 1,529) in 1861 but dropping to 585 after the expulsions and flight of WWI. The Zionists were active, sponsoring cultural activities and a training",,1700,LX
474,PRU_PSN_GNSN,Preussen,Gniezno,Gnesen,,11XX,1200,1100,1150,"Jews are first mentioned in the 12th cent. Settlement commenced in the 14th cent. anda relatively large community came into being in the 18th. Jews engaged mostly in trade,brokerage, and crafts, and organized their own g",,1100,XX
475,POD_VNN_GNVN,Podolia,Vinnitsa,Gnivan,18EX,18XX,1900,1800,1850,"Few Jews were present in the 19th cent. In 1926, they numbered 142 and in 1939, 361 (total 3,199). Towards the end of 1941 and the beginning of 1942, the Nazis murdered the Jews there. By Soviet count, 276 were murdere",,1800,XX
476,PRU_PSN_GLLN,Preussen,Wagrowiec,Gollantsch,,1766,1766,1766,1766,"Jews first settled in 1766 under a charter of privileges and by the time ofPrussianrule in 1772 formedan organizedcommunity, with most engaged in petty trade andpeddling. In the 19th cent. they opened stores and workshop",,1700,
477,TRD_ALS_GLPR,Taurida,Aleshki,Golaia pristan,18EX,18EX,1850,1800,1825,"Jews probably settled in the early 19th cent. and numbered 667 (total 6,143) in 1897 and 276 in 1939 under the Soviets. The Germans arrived on 13 Sept. 1941 and on 12 Oct. murdered about 150 Jews. In all, the G",,1800,EX
478,PRU_OST_GLDP,Preussen,Goldap,Goldap,,1843,1843,1843,1843,"Germany,today Poland.The J. pop. was 60 in 1843, 84 in 1880, and 58 in 1905. The first cemetery dates back to the beginning of the 19th cent. and a synagogue was established in midcent.In the 1920s, the community could no longer emp",,1800,
